,label,dist_embeds,q_flan-t5-small,q_flan-t5-base,q_flan-t5-large,q_flan-t5-xl,q_flan-t5-xxl,q_flan-ul2,q_text-ada-001,q_text-babbage-001,q_text-curie-001,q_text-davinci-001,q_text-davinci-002,q_text-davinci-003,q_chatgpt
0,0,0.9767926279455423,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1.0165103673934937,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0.8177151829004288,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0.9484238624572754,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,1.0098258340731263,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0.9804831240326166,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0.9817087911069393,0,0,0,1,0,0,0,0,0,0,0,0,0
7,0,0.9851706959307194,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0.8816517442464828,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0.8500986993312836,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0.9569206796586514,0,0,0,1,0,0,0,0,0,0,0,0,0
11,0,0.9311923235654831,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0.909248098731041,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0.899454228579998,0,0,0,1,0,0,0,0,0,0,0,0,0
14,0,0.8717869073152542,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0.8887850940227509,0,0,0,0,1,0,0,0,0,0,0,0,0
16,0,1.0138526828959584,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0.9775185324251652,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,1.0245674066245556,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,0.8658312857151031,0,0,0,0,0,0,0,0,0,1,0,0,0
20,0,0.8983853980898857,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0,1.0020037966314703,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,0.9995603160641622,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,0.9179350361227989,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0,1.0236537009477615,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,0.9593730457127094,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0,0.9112385809421539,0,0,0,0,0,0,0,0,0,0,0,0,0
27,0,0.8655199706554413,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0,0.9769653435796499,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0,1.0183358676731586,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0,0.8026392757892609,0,0,0,1,0,0,0,0,0,0,0,0,0
31,0,0.9703800100833178,0,0,0,0,0,0,0,0,0,0,0,0,0
32,0,0.9391994811594486,0,0,0,0,0,0,0,0,0,0,0,0,0
33,0,1.0012740484671667,0,0,0,0,0,0,0,0,0,0,0,0,0
34,0,0.8833800405263901,0,0,0,0,0,0,0,0,0,0,0,0,0
35,0,0.9026892781257629,0,0,0,0,0,0,0,0,0,0,0,0,0
36,0,0.9738595839589834,0,0,0,0,0,0,0,0,0,0,0,0,0
37,0,0.9687710646539927,0,0,0,0,0,0,0,0,0,0,0,0,0
38,0,1.0014988706680015,0,0,0,0,0,0,0,0,0,0,0,0,0
39,0,0.8976994380354881,0,0,0,0,0,0,0,0,0,0,0,0,0
40,0,0.9282325580716133,0,0,0,0,0,0,0,0,0,0,0,0,0
41,0,0.9432493336498737,0,0,0,0,0,0,0,0,0,0,0,0,0
42,0,0.7540234476327896,0,0,0,1,1,1,0,0,0,0,0,0,0
43,0,0.9088676273822784,0,0,0,0,0,0,0,0,0,0,0,0,0
44,0,0.9804831109941006,0,0,0,0,0,0,0,0,0,0,0,0,0
45,0,0.9838881324976683,0,0,0,0,0,0,0,0,0,0,0,0,1
46,0,0.9320201203227043,0,0,0,0,0,0,0,0,0,0,0,0,0
47,0,0.9040941223502159,0,0,0,0,0,0,0,0,0,0,0,0,0
48,0,0.9851706959307194,0,0,0,0,0,0,0,0,0,0,0,0,0
49,0,0.889607772231102,0,0,0,1,0,0,0,0,0,0,0,0,0
