,label,dist_embeds,q_flan-t5-small,q_flan-t5-base,q_flan-t5-large,q_flan-t5-xl,q_flan-t5-xxl,q_flan-ul2,q_text-ada-001,q_text-babbage-001,q_text-curie-001,q_text-davinci-001,q_text-davinci-002,q_text-davinci-003,q_chatgpt
0,0,0.9461455717682838,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0.9064013510942459,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0.7974694967269897,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0.8812126442790031,0,0,0,0,0,0,0,0,0,0,0,0,1
4,0,0.8935467302799225,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0.8984303176403046,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0.9031938537955284,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0.8019010871648788,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1,0.7983605414628983,0,0,0,0,1,0,0,0,0,0,0,0,0
9,0,0.9294855669140816,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0.9022669717669487,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0.8966274484992027,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0.9693873468786478,0,0,0,0,0,0,0,0,0,0,0,0,1
13,0,0.8771654069423676,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0.9678516648709774,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0.9311539679765701,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0.9342910572886467,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0.9043647572398186,0,0,0,0,0,0,0,0,0,0,0,0,1
18,0,0.9097006320953369,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,0.9624108038842678,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0,0.9142206609249115,0,0,0,0,0,0,0,0,0,0,0,0,1
21,0,1.064516343176365,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,0.9484341889619827,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,0.749511182308197,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0,0.9172101467847824,0,0,0,0,0,0,0,0,0,0,0,0,1
25,0,0.8968755751848221,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0,0.8539582937955856,0,0,0,0,0,0,0,0,0,0,0,0,0
27,0,0.826331153512001,0,0,0,0,0,0,0,0,0,0,0,0,1
28,0,1.0236587170511484,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0,0.9713409747928381,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0,0.7854174375534058,0,0,0,0,0,0,0,0,0,0,0,0,0
31,0,0.8597419112920761,0,0,0,0,0,0,0,0,0,0,0,0,0
32,0,0.9649797715246677,0,0,0,0,0,0,0,0,0,0,0,0,0
33,0,1.095062404870987,0,0,0,0,0,0,0,0,0,0,0,0,1
34,0,0.9419731646776199,0,0,0,0,0,0,0,0,0,0,0,0,0
35,0,0.8541766256093979,0,0,0,0,0,0,0,0,0,0,0,0,0
36,0,0.9964325765613467,0,0,0,0,0,0,0,0,0,0,0,0,0
37,0,0.9317929819226265,0,0,0,0,0,0,0,0,0,0,0,0,0
38,0,0.878664568066597,0,0,0,0,0,0,0,0,0,0,0,0,0
39,0,0.9142957031726837,0,0,0,0,0,0,0,0,0,0,0,0,0
40,0,0.9260329678654671,0,0,0,0,0,0,0,0,0,0,0,0,0
41,0,0.955107819288969,0,0,0,0,0,0,0,0,0,0,0,0,0
42,0,0.8491535484790802,0,0,0,0,0,0,0,0,0,0,0,0,0
43,0,0.8643990904092789,0,0,0,0,0,0,0,0,0,0,0,0,0
44,0,0.8984302952885628,0,0,0,0,0,0,0,0,0,0,0,0,0
45,0,1.011890753172338,0,0,0,0,0,0,0,0,0,0,0,0,0
46,0,0.9332261085510254,0,0,0,0,0,0,0,0,0,0,0,0,0
47,0,0.9123072922229767,0,0,0,0,0,0,0,0,0,0,0,0,1
48,0,0.8019010871648788,0,0,0,0,0,0,0,0,0,0,0,0,0
49,0,0.7911458909511566,0,0,0,0,0,0,0,0,0,0,0,0,0
50,0,0.9260995015501976,0,0,0,0,0,0,0,0,0,0,0,1,0
51,0,0.7962354570627213,0,0,0,0,0,0,0,0,0,0,0,0,0
52,0,0.9671665281057358,0,0,0,0,0,0,0,0,0,0,0,0,1
53,0,0.8355185389518738,0,0,0,0,0,0,0,0,0,1,0,0,0
54,0,0.9142845273017883,0,0,0,0,0,0,0,0,0,0,0,0,1
55,0,0.8832748308777809,0,0,0,0,0,0,0,0,0,0,0,0,0
56,0,0.9806096907705069,0,0,0,0,0,0,0,0,0,0,0,0,1
57,0,0.8716846257448196,0,0,0,0,0,0,0,0,0,0,0,0,0
58,0,0.9672926366329193,0,0,0,0,0,0,0,0,0,0,0,0,0
59,0,0.726952075958252,0,0,1,1,1,0,0,0,0,0,0,1,0
60,0,0.9624108038842678,0,0,0,0,0,0,0,0,0,0,0,0,0
61,0,0.8642550855875015,0,0,0,0,0,0,0,0,0,0,0,0,0
62,0,1.0448458790779114,0,0,0,0,0,0,0,0,0,0,0,0,0
63,0,0.9719582349061966,0,0,0,0,0,0,0,0,0,0,0,0,0
64,0,0.9747457597404718,0,0,0,0,0,0,0,0,0,0,0,0,0
65,0,0.9288911446928978,0,0,0,0,0,0,0,0,0,0,0,0,0
66,0,0.8865556642413139,0,0,0,0,0,0,0,0,0,0,0,0,1
67,0,0.9497003853321075,0,0,0,0,0,0,0,0,0,0,0,0,0
68,0,0.9942936697043478,0,0,0,0,0,0,0,0,0,0,0,0,0
69,0,0.8832748308777809,0,0,0,0,0,0,0,0,0,0,0,0,0
70,0,0.9552952162921429,0,0,0,0,0,0,0,0,0,0,0,0,0
