,label,dist_embeds,q_flan-t5-small,q_flan-t5-base,q_flan-t5-large,q_flan-t5-xl,q_flan-t5-xxl,q_flan-ul2,q_text-babbage-001,q_text-curie-001,q_text-davinci-001,q_text-davinci-003,q_chatgpt
0,0,1.0081320740282536,0,0,0,1,0,0,0,0,0,0,0
1,0,0.8495374172925949,0,0,0,0,0,0,0,0,0,0,0
2,0,0.988428508862853,0,0,0,0,0,0,0,0,0,0,0
3,0,0.9455406591296196,0,0,0,0,0,0,0,0,0,0,0
4,0,0.9267353042960167,0,0,0,0,0,0,0,0,0,0,0
5,0,0.9374557211995125,0,0,0,1,0,1,0,0,0,0,0
6,0,0.7737969607114792,0,0,0,0,0,0,0,0,0,0,0
7,0,0.9682469144463539,0,0,0,0,0,0,0,0,0,0,0
8,0,0.8735562413930893,0,0,0,0,0,0,0,0,0,0,0
9,0,1.0477797538042068,0,0,0,0,0,0,0,0,0,0,1
10,0,0.9047464206814766,0,0,0,0,0,0,0,0,0,0,0
11,0,1.0132604222744703,0,0,0,0,0,0,0,0,0,0,0
12,0,0.936894528567791,0,0,0,0,0,0,0,0,0,0,0
13,0,0.8866152763366699,0,0,0,0,0,0,0,0,0,0,0
14,0,0.7612444013357162,0,0,0,0,0,0,0,0,0,0,0
15,0,0.7674749940633774,0,0,0,0,0,0,0,0,0,0,1
16,0,0.9872474381700158,0,0,0,0,0,0,0,0,0,0,0
17,0,0.8886962383985519,0,0,0,0,0,0,0,0,0,0,0
18,0,0.7549585700035095,0,0,0,0,0,0,0,0,0,0,0
19,0,1.0562299974262714,0,0,0,0,0,0,0,0,0,0,0
20,0,0.9171696975827217,0,1,1,1,1,1,0,0,0,0,0
21,0,0.9183065369725227,0,0,0,0,0,0,0,0,0,0,0
22,0,0.8568773567676544,0,0,0,0,0,0,0,0,0,0,0
23,0,1.0571909248828888,0,1,1,1,1,1,0,0,0,0,1
24,0,0.8411515802145004,0,0,0,1,0,0,0,0,0,0,1
25,0,0.9046813771128654,0,0,0,0,0,0,0,0,0,0,0
26,0,0.9731140658259392,0,0,0,0,0,0,0,0,0,0,1
27,0,0.904047317802906,0,0,0,0,0,0,0,0,0,0,0
28,0,0.9830005038529634,0,0,0,0,0,0,0,0,0,0,0
29,0,0.8454613983631134,0,0,0,0,0,0,0,0,0,0,0
30,0,0.8748817294836044,0,0,0,0,0,0,0,0,0,0,0
31,0,0.8527161926031113,0,0,0,0,0,0,0,0,0,0,1
32,0,0.8149586617946625,0,0,0,0,0,0,0,0,0,0,0
33,0,0.8908270224928856,0,0,0,0,0,0,0,0,0,0,0
34,0,0.8134510666131973,0,0,0,0,0,0,0,0,0,0,0
35,0,0.9925025226548314,0,0,0,0,0,0,0,0,0,0,0
36,0,1.017492013052106,0,0,0,0,0,0,0,0,0,0,0
37,0,0.967652715742588,0,0,0,0,0,0,0,0,0,0,0
38,0,0.9619081392884254,0,0,0,0,0,0,0,0,0,0,0
39,0,0.9393660947680473,0,0,0,0,0,0,0,0,0,0,0
40,0,0.9406863078474998,0,0,0,0,0,0,0,0,0,0,0
41,0,0.9868149189278483,0,0,0,0,0,0,0,0,0,0,0
42,0,0.9684283323585987,0,0,0,0,0,0,0,0,0,0,1
43,0,0.980434438213706,0,0,1,1,0,1,0,0,0,1,1
44,0,0.934218019247055,0,1,1,1,1,1,0,0,0,0,0
45,0,0.9524849131703377,0,0,0,0,0,0,0,0,0,0,0
46,0,0.8768478110432625,0,0,0,1,0,0,0,0,0,0,1
47,0,0.7713647782802582,0,0,0,0,0,0,0,0,0,0,0
48,0,0.8715813308954239,0,0,0,0,0,0,0,0,0,0,0
49,0,0.9911229507997632,0,0,0,0,0,0,0,0,0,0,0
50,0,0.8529728204011917,0,0,0,0,0,0,0,0,0,0,0
51,0,0.8831588625907898,0,1,1,1,1,1,0,0,0,0,0
52,0,0.9692000299692154,0,0,0,0,0,0,0,0,0,0,0
53,0,0.8013609945774078,0,0,0,0,0,0,0,0,0,0,0
54,0,0.9666867479681969,0,0,0,0,0,0,0,0,0,0,0
55,0,0.8123738765716553,0,0,0,0,0,0,0,0,0,0,0
56,0,0.9167563989758492,0,0,0,0,0,0,0,0,0,0,0
57,0,0.9903763933107257,0,0,0,0,0,0,0,0,0,0,0
58,0,1.0112851429730654,0,0,0,0,0,0,0,0,0,0,1
59,0,1.051578812301159,0,0,0,0,0,0,0,0,0,0,0
60,0,0.9784357491880655,0,0,0,0,0,0,0,0,0,0,0
61,0,0.9842411037534475,0,0,0,0,0,0,0,0,0,0,0
62,0,1.0332502536475658,0,0,0,0,0,0,0,0,0,0,0
63,0,0.8415435552597046,0,0,0,0,0,0,0,0,0,0,0
64,0,0.8850023746490479,0,0,0,0,0,0,0,0,0,0,0
65,0,0.9886492313817143,0,0,0,0,0,0,0,0,0,0,1
66,0,0.8987560197710991,0,0,0,0,0,0,0,0,0,0,0
67,0,0.9193312451243401,0,0,0,0,0,0,0,0,0,0,0
68,0,0.8462725877761841,0,0,0,0,0,0,0,0,0,0,0
69,0,0.8521998524665833,0,0,0,0,0,0,0,0,0,0,0
70,0,0.8580951392650604,0,1,1,1,1,1,0,0,0,1,1
71,0,0.8234722018241882,0,0,0,0,0,0,0,0,0,0,0
72,0,0.7168500423431396,0,0,0,0,0,0,0,0,0,0,0
73,0,0.9512798674404621,0,0,0,0,0,0,0,0,0,0,0
74,0,0.729418009519577,0,0,0,1,0,0,0,0,0,0,1
75,0,0.832161009311676,0,0,0,0,0,0,0,0,0,0,1
76,0,0.8472172170877457,0,0,0,0,0,0,0,0,0,0,1
77,0,0.8483520597219467,0,0,0,0,0,0,0,0,0,0,0
78,0,0.962470218539238,0,0,0,0,0,0,0,0,0,0,1
79,0,0.9034209847450256,0,0,0,0,0,0,0,0,0,0,1
80,0,1.0534805171191692,0,0,0,0,0,0,0,0,0,0,0
81,0,0.9603004604578018,0,0,0,0,0,0,0,0,0,0,0
82,0,0.8983664661645889,0,0,0,0,0,0,0,0,0,0,0
83,0,0.8017501533031464,0,0,0,0,0,0,0,1,0,0,0
84,0,0.7864316999912262,0,0,0,0,0,0,0,0,0,0,0
85,0,1.0230799484997988,0,0,0,0,0,0,0,0,0,0,0
