,label,dist_embeds,q_flan-t5-small,q_flan-t5-base,q_flan-t5-large,q_flan-t5-xl,q_flan-t5-xxl,q_flan-ul2,q_text-babbage-001,q_text-curie-001,q_text-davinci-001,q_text-davinci-002,q_text-davinci-003,q_chatgpt
0,0,0.9817391410470009,0,0,0,0,0,0,0,1,0,0,0,0
1,0,0.8903110921382904,0,0,0,0,0,0,0,1,0,0,0,0
2,0,0.9239865466952324,0,0,0,0,0,0,0,0,0,0,0,1
3,0,1.1002730578184128,0,0,0,0,0,0,1,1,0,0,1,1
4,0,0.9489839859306812,0,0,0,0,0,0,0,0,0,0,0,0
5,0,1.0103026004508138,0,0,0,0,0,0,0,1,0,0,0,0
6,0,0.9136306494474411,0,0,0,0,0,0,0,1,0,0,0,0
7,0,1.0251824483275414,0,0,0,0,0,0,0,0,0,0,0,1
8,0,0.8343057781457901,0,0,0,0,0,0,0,1,0,0,0,0
9,0,0.9838224723935127,0,0,0,0,0,0,0,1,0,0,0,0
10,0,0.9186457991600037,0,0,0,0,0,1,0,1,0,0,0,1
11,0,0.8989711180329323,0,0,0,0,0,0,0,1,0,0,0,1
12,0,1.0000496450811625,0,0,0,0,0,0,1,1,0,0,0,1
13,0,0.9715350661426783,0,0,0,0,0,0,0,1,0,0,0,0
14,0,1.0421433597803116,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0.8842560723423958,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0.9981171799590811,0,0,0,0,0,0,1,1,0,0,0,0
17,0,0.9162619933485985,0,0,0,0,0,0,0,1,0,0,0,1
18,0,0.822767436504364,0,0,0,0,0,0,0,1,0,0,0,0
19,0,0.8931773453950882,0,0,0,0,0,0,0,0,0,0,0,0
20,0,0.8509945571422577,0,0,0,0,0,0,0,1,0,0,0,0
21,0,0.9417514763772488,0,0,0,0,0,0,0,1,0,0,0,0
22,0,0.9148041382431984,0,0,0,0,0,0,0,1,0,0,0,0
23,0,0.921956904232502,0,0,0,0,0,0,0,0,0,0,0,0
24,0,0.8864932134747505,0,0,0,0,0,0,0,1,0,0,0,0
25,0,0.9630800485610962,0,0,0,0,0,0,0,0,0,0,0,0
26,0,0.9813909232616425,0,0,0,0,0,0,0,1,0,0,0,0
27,0,0.9399404488503933,0,0,0,0,0,0,0,1,0,0,0,0
28,0,0.8229914456605911,0,0,0,0,0,0,0,1,0,0,0,1
29,0,0.9902085652574897,0,0,0,0,0,0,0,0,0,0,0,0
30,0,0.9380415230989456,0,0,0,0,0,0,0,0,0,0,0,1
31,0,0.9227206632494926,0,0,0,0,0,0,1,1,0,0,0,0
32,0,0.8838958293199539,0,0,0,0,0,0,0,1,0,0,0,0
33,0,0.8848160728812218,0,0,0,0,0,0,0,1,0,0,0,0
34,0,0.9549581222236156,0,0,0,0,0,0,0,1,0,0,0,0
35,0,1.0124716171994805,0,0,0,0,0,0,0,1,0,0,0,0
36,0,0.8297089040279388,0,0,0,0,0,0,0,1,0,0,0,0
37,0,0.8897331431508064,0,0,0,0,0,0,0,1,0,0,0,0
38,0,0.9541272595524788,0,0,0,0,0,0,0,0,0,0,0,0
39,0,0.8772809281945229,0,0,0,0,0,0,0,1,0,0,0,0
40,0,0.8499415218830109,0,0,0,0,0,0,1,1,0,0,0,0
41,0,0.9158471003174782,0,0,0,0,0,0,0,1,0,0,0,0
42,0,0.833066776394844,0,0,0,0,0,0,0,0,0,0,0,0
43,0,0.9059875980019569,0,0,0,0,1,0,0,0,0,0,0,1
44,0,0.9988280013203621,0,0,0,0,0,0,0,1,0,0,0,0
45,0,0.996634803712368,0,0,0,0,0,1,0,1,0,0,0,1
46,0,0.9459248967468739,0,0,0,0,0,0,0,1,0,0,0,0
47,0,0.9527430795133114,0,0,0,0,0,0,0,0,0,0,0,1
48,0,0.9558801278471947,0,0,0,0,0,0,0,0,0,0,0,0
49,0,0.968207024037838,0,0,0,0,0,0,0,0,0,0,0,1
50,0,0.9103728234767914,0,0,0,0,0,0,0,0,0,0,0,1
51,0,0.8838135823607445,0,0,0,0,0,0,0,1,0,0,0,0
52,0,0.888259269297123,0,0,0,0,0,0,0,0,0,0,0,0
53,0,0.9218399971723557,0,0,0,0,0,0,0,1,0,0,0,1
54,0,1.0042413561604917,0,0,0,0,0,0,0,0,0,0,0,0
55,0,1.0091033400967717,0,0,0,0,0,0,0,0,0,0,0,0
56,0,0.9885557256639004,0,0,0,0,0,0,0,0,0,0,0,1
57,0,0.9540301226079464,0,0,0,0,0,0,0,1,0,0,0,0
58,0,0.8906908556818962,0,0,0,0,0,0,1,1,0,0,0,1
59,0,0.8600622564554214,0,0,0,0,0,0,0,1,0,0,0,0
60,0,0.8280818909406662,0,0,0,0,0,0,0,1,0,0,0,0
61,0,0.900495357811451,0,0,0,0,0,0,0,1,0,0,0,0
62,0,0.8671132922172546,0,0,0,0,0,0,0,1,0,0,0,0
63,0,0.8571376651525497,0,0,0,0,0,0,0,1,0,0,0,0
64,0,1.0161867141723633,0,0,0,0,0,0,0,0,0,0,0,1
65,0,0.8684505522251129,0,0,0,0,0,0,0,1,0,0,0,0
66,0,0.9803219437599182,0,0,0,0,0,0,0,1,0,0,0,0
67,0,0.8041085004806519,0,0,0,0,0,0,0,1,0,0,0,0
68,0,0.9780595507472754,0,0,0,0,0,0,1,1,0,0,0,0
69,0,0.8809889629483223,0,0,0,0,0,0,0,1,0,0,0,0
70,0,0.9286560565233231,0,0,0,0,0,0,0,1,0,0,0,0
71,0,0.9835115280002356,0,0,0,0,0,0,0,1,0,0,0,0
72,0,0.916776642203331,0,0,0,0,0,0,0,1,0,0,0,0
73,0,0.9329622387886047,0,0,0,0,0,0,0,1,0,0,0,0
74,0,0.9163746535778046,0,0,0,0,0,0,0,1,0,0,0,0
75,0,0.854261964559555,0,0,0,0,0,1,0,1,0,0,0,0
76,0,0.9343394786119461,0,0,0,0,0,0,0,1,0,0,0,0
77,0,0.814400777220726,0,0,0,0,0,0,0,1,0,0,0,0
78,0,0.8966347351670265,0,0,0,0,0,0,0,1,0,0,0,0
79,0,1.0545766092836857,0,0,0,0,0,0,0,1,0,0,0,0
80,0,0.9353452101349831,0,0,0,0,0,0,0,1,0,0,0,0
81,0,0.9253577440977097,0,0,0,0,0,0,0,1,0,0,0,0
82,0,0.9784285221248865,0,0,0,0,0,0,0,1,0,0,0,0
83,0,0.9151527211070061,0,0,0,0,0,0,0,1,0,0,0,0
84,0,0.870220273733139,0,0,0,0,0,0,0,1,0,0,0,0
85,0,0.870220273733139,0,0,0,0,0,0,0,1,0,0,0,0
86,0,0.8992881402373314,0,0,0,0,0,0,0,1,0,0,0,0
87,0,0.870220273733139,0,0,0,0,0,0,0,1,0,0,0,0
88,0,0.9514579810202122,0,0,0,0,0,0,0,1,0,0,0,0
89,0,0.8596908748149872,0,0,0,0,0,0,0,0,0,0,1,0
90,0,0.8451651036739349,0,0,0,0,0,1,0,1,0,0,0,0
91,0,0.8739392161369324,0,0,0,0,0,0,0,1,0,0,0,0
92,0,1.0417305044829845,0,0,0,0,0,0,0,0,0,0,0,0
93,0,0.9853687807917595,0,0,0,0,0,0,0,1,0,0,0,0
94,0,0.9378791712224483,0,0,0,0,0,0,0,1,0,0,0,0
95,0,1.004790789913386,0,0,0,0,0,0,0,1,0,0,0,0
96,0,0.9190951213240623,0,0,0,0,0,1,0,1,0,0,0,0
97,0,1.0134324124082923,0,0,0,0,0,0,0,1,0,0,0,0
98,0,0.924871638417244,0,0,0,0,0,0,0,1,0,0,0,0
99,0,0.8810127228498459,0,0,0,0,0,0,0,1,0,0,0,0
100,0,0.8817997947335243,0,0,0,0,0,0,0,1,0,0,0,0
101,0,0.8104498237371445,0,0,0,0,0,0,0,1,0,0,0,0
102,0,0.9189681112766266,0,0,0,0,0,0,0,1,0,0,0,0
103,0,0.8510068506002426,0,0,0,0,0,1,0,1,0,0,0,0
104,0,0.8819885104894638,0,0,0,0,0,0,0,1,0,0,0,0
105,0,1.0444017797708511,0,0,0,0,0,1,0,1,0,0,0,1
106,0,0.9024389982223511,0,0,0,0,0,1,0,1,0,0,0,0
107,0,0.9651096612215042,0,0,0,0,0,0,0,1,0,0,0,0
108,0,0.9324546679854393,0,0,0,0,0,0,0,1,0,0,0,0
109,0,0.8929010406136513,0,0,0,0,0,0,1,1,0,0,0,0
110,0,0.9222377687692642,0,0,0,0,0,0,0,0,0,0,0,0
111,0,0.9323433041572571,0,0,0,0,0,0,0,1,0,0,0,0
112,0,0.9687481373548508,0,0,0,0,0,0,0,1,0,0,0,0
113,0,0.9687481373548508,0,0,0,0,0,0,0,1,0,0,0,0
114,0,0.9568867310881615,0,0,0,0,0,0,1,0,0,0,0,0
115,0,0.8382802754640579,0,0,0,0,0,1,1,1,0,0,0,0
116,0,0.8481632620096207,0,0,0,0,0,0,0,1,0,0,0,0
117,0,0.9597906023263931,0,0,0,0,0,0,1,1,0,0,0,0
118,0,1.0001418413739884,0,0,0,0,0,0,0,1,0,0,0,0
119,0,0.9052262082695961,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0.978021802380681,0,0,0,0,0,0,0,0,0,0,0,0
121,0,0.9861647142097354,0,0,0,0,0,0,0,0,0,0,0,0
122,0,0.9462099894881248,0,0,0,0,0,0,0,1,0,0,0,0
123,0,0.9056192487478256,0,0,0,0,0,0,0,1,0,0,0,0
124,0,0.8591254502534866,0,0,0,0,0,0,0,1,0,0,0,0
125,0,0.9733367674052715,0,0,0,0,0,0,0,0,0,0,0,0
126,0,0.9700266923755407,0,0,0,0,0,0,0,1,0,0,0,1
127,0,0.795261412858963,0,0,1,0,0,1,0,1,0,0,1,1
128,0,0.9758648537099361,0,0,0,0,0,0,0,1,0,0,0,0
129,0,0.886387050151825,0,0,0,0,0,0,0,1,0,0,0,1
130,0,1.0024950990919024,0,0,0,0,0,0,1,1,0,0,0,0
131,0,0.9875129852443933,0,0,0,0,0,0,0,0,0,0,0,0
132,0,0.9412219002842903,0,0,0,0,0,0,0,1,0,0,0,0
133,0,0.9180008172988892,0,0,0,0,0,0,0,1,0,0,0,0
134,0,0.8969288393855095,0,0,0,0,0,0,0,0,0,0,0,0
135,0,0.9497013874351978,0,0,0,0,0,0,0,1,0,0,0,0
136,0,0.9458857104182243,0,0,0,0,0,0,0,0,0,0,0,1
137,0,0.9554910995066166,0,0,0,0,0,0,0,1,0,0,0,0
138,0,0.8486355990171432,0,0,0,0,0,0,1,1,0,0,0,0
139,0,0.8956696763634682,0,0,0,0,0,0,0,0,0,0,0,0
140,0,1.0352770313620567,0,0,0,0,0,0,0,0,0,0,0,0
141,0,0.9317416250705719,0,0,0,0,0,0,0,1,0,0,0,0
142,0,0.9331653192639351,0,0,0,0,0,0,0,0,0,0,0,1
143,0,0.938958402723074,0,0,0,0,0,0,0,1,0,0,0,0
144,0,1.0053946380503476,0,0,0,0,0,0,0,0,0,0,0,0
145,0,0.9116590693593025,0,0,0,0,0,0,0,1,0,0,0,0
146,0,0.8766999170184135,0,0,0,0,0,0,0,0,0,0,1,0
147,0,0.9193742871284485,0,0,0,0,1,1,0,1,0,0,0,1
148,0,0.8573355227708817,0,0,0,0,0,0,0,1,0,0,1,0
149,0,0.9733753949403763,0,0,0,0,0,0,0,0,0,0,1,0
150,0,1.0137729495763779,0,0,0,0,0,0,0,1,0,0,0,1
151,0,0.9677223935723305,0,0,0,0,1,1,0,0,0,0,0,1
152,0,0.9168991670012474,0,0,0,0,0,0,0,1,0,0,0,0
153,0,0.9893700247630477,0,0,0,0,0,0,0,0,0,0,0,0
154,0,0.9489514753222466,0,0,0,0,0,0,0,0,0,0,0,0
155,0,0.9840129446238279,0,0,0,0,0,0,0,0,0,0,0,0
156,0,0.9060062393546104,0,0,0,0,0,1,0,1,0,0,0,1
157,0,1.0010698288679123,0,0,0,0,0,0,0,0,0,0,0,0
158,0,0.9244474172592163,0,0,0,0,0,0,0,1,0,0,0,0
159,0,1.0091140186414123,0,0,0,0,0,0,0,0,0,0,0,0
160,0,0.918615072965622,0,0,0,0,0,1,0,1,0,0,1,0
161,0,0.9630231335759163,0,0,0,0,0,0,0,1,0,0,0,0
162,0,0.9577669873833656,0,0,0,0,0,0,0,0,0,0,0,0
163,0,0.9261362999677658,0,0,0,0,0,0,0,0,0,0,0,0
164,0,1.0048212301917374,0,0,0,0,0,0,0,1,0,0,0,0
165,0,0.9442894198000431,0,0,0,0,0,0,0,1,0,0,0,0
166,0,0.9773405622690916,0,0,0,0,0,0,0,0,0,0,0,0
167,0,0.9477134458720684,0,0,0,0,0,0,1,1,0,0,0,0
168,0,0.9684222750365734,0,0,0,0,0,0,1,1,0,0,0,0
169,0,0.9252722188830376,0,0,0,0,0,0,0,0,0,0,0,0
170,0,0.9765688646584749,0,0,0,0,0,0,1,0,0,0,0,0
171,0,0.924115315079689,0,0,0,0,0,0,0,0,0,0,0,0
172,0,0.9352454543113708,0,0,0,0,0,0,0,1,0,0,0,0
173,0,0.955513920634985,0,0,0,0,0,0,1,1,0,0,0,0
174,0,0.931714303791523,0,0,0,0,0,0,0,1,0,0,0,0
175,0,0.9666565619409084,0,0,0,0,0,0,0,1,0,0,0,0
176,0,0.9848014507442713,0,0,0,0,0,0,0,1,0,0,0,0
177,0,0.8881182968616486,0,0,0,0,0,0,0,0,0,0,0,0
178,0,0.9986142365960404,0,0,0,0,0,0,0,1,0,0,0,0
179,0,0.8895989432930946,0,0,0,0,0,0,0,1,0,0,0,0
180,0,0.9647073484957218,0,0,0,0,0,0,0,0,0,0,0,0
181,0,0.9731237422674894,0,0,0,0,0,0,0,1,0,0,0,0
182,0,1.0163948088884354,0,0,0,0,0,0,0,0,0,0,0,0
183,0,0.9645070508122444,0,0,0,0,0,0,0,1,0,0,0,0
184,0,0.8706449121236801,0,0,0,0,0,0,0,1,0,0,0,0
185,0,0.9278125837445259,0,0,0,0,0,0,0,0,0,0,0,0
186,0,0.9202876463532448,0,0,0,0,0,0,0,1,0,0,0,0
187,0,0.9860106268897653,0,0,0,0,0,0,0,1,0,0,0,0
188,0,0.9063626006245613,0,0,0,0,0,0,0,0,0,0,0,0
189,0,0.8824866637587547,0,0,0,0,0,0,0,1,0,0,0,0
190,0,1.0182882193475962,0,0,0,0,0,0,0,1,0,0,1,0
191,0,0.916314035654068,0,0,0,0,0,1,0,1,0,0,0,0
192,0,0.93964584171772,0,0,0,0,0,0,0,1,0,0,0,1
193,0,0.8688362091779709,0,0,0,0,0,0,0,1,0,0,0,0
194,0,0.9007665663957596,0,0,0,0,0,0,0,1,0,0,0,0
195,0,0.9817704260349274,0,0,0,0,0,0,0,1,0,0,0,0
